# momo 라벨 택소노미 (TSV: name<TAB>color<TAB>description)
# LEGACY copy: 새 bootstrap은 .github/labels.json 을 정본으로 읽는다.
# scripts/github/bootstrap.sh 는 ALLOW_LEGACY_BOOTSTRAP=1 없이 실행되지 않는다.
# 색은 6자리 hex(앞 # 없이). bootstrap.sh가 idempotent하게 생성/갱신.
# 축: type / status / priority / area / size / gate / agent. 정본은 .github/labels.json(bootstrap이 읽는 파일) — 이 tsv는 동일 택소노미 사본.
# ── type (무엇인가) ──
type:feature	1d76db	신규 기능/경험
type:bug	d73a4a	결함
type:chore	cfd3d7	빌드/툴링/잡일
type:docs	0075ca	문서
type:spec	5319e7	스펙/설계 결정
type:infra	006b75	인프라/배포/CI
# ── status (지금 어디) ──
status:ready	0e8a16	착수 가능(의존 충족). Codex picker 대상.
status:in-progress	fbca04	작업 중
status:blocked	b60205	선행 미충족/외부 대기
status:needs-review	d4c5f9	PR 리뷰 대기
status:runtime-unverified	e99695	컴파일/정합만 검증, docker/psql 런타임 미검증
# ── priority ──
priority:p0	b60205	릴리스 블로커
priority:p1	d93f0b	중요
priority:p2	fbca04	보통
# ── area (어디 코드) ──
area:server	1d76db	MomoServer (Hummingbird 2)
area:relay	1d76db	OutboxRelay
area:worker	1d76db	AgentWorker (hermes SSE)
area:core	1d76db	MomoCore 공유 모델/프로토콜
area:macos	1d76db	MomoMac (SwiftUI)
area:ios	1d76db	iOS 클라이언트
area:infra	006b75	docker/centrifugo/migrations
area:adapter	0052cc	hermes 어댑터(python)
area:schema	5319e7	schema_v0.sql / DDL
area:tenancy	5319e7	멀티팀/워크스페이스 격리/초대코드
area:store	c2e0c6	배포(공증/앱스토어)
area:ci	006b75	GitHub Actions/CI
area:legal	bfd4f2	법무 선결(법률 자문 아님) — 정책/약관/프라이버시 문서
# ── size (대략 공수) ──
size:s	c5def5	작음(1티켓 1세션)
size:m	c5def5	보통
size:l	c5def5	큼(분할 권장)
# ── gate (게이트) ──
gate:qa	fef2c0	사용성 검수 게이트(스토어 선행)
agent:codex-ok	0e8a16	Codex 자율 실행 적합(명확한 goal+검증)
